epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.163,1.84729,2.08925,2.1381,0.83207,0.57824,0.68581,0.46997,1.8644,1.94518,2.48198,0.00033156,0.00033156,0.00033156
2,342.707,1.8152,1.03213,2.14858,0.83359,0.77158,0.82353,0.58318,1.79219,1.10092,2.38335,0.000658311,0.000658311,0.000658311
3,512.491,1.75877,0.94005,2.11355,0.71079,0.77676,0.80684,0.58549,1.69183,1.22043,2.34266,0.000978462,0.000978462,0.000978462
4,681.996,1.74949,0.90383,2.10659,0.81923,0.75991,0.80742,0.58623,1.75795,0.99019,2.32431,0.0009703,0.0009703,0.0009703
5,851.713,1.67495,0.84638,2.06588,0.80999,0.81668,0.8271,0.62232,1.72371,0.85138,2.36013,0.0009604,0.0009604,0.0009604
6,1020.71,1.64603,0.8204,2.04915,0.81944,0.80051,0.82665,0.62257,1.56288,0.80576,2.20396,0.0009505,0.0009505,0.0009505
7,1190.11,1.58444,0.78904,2.02649,0.8449,0.83637,0.85437,0.65879,1.51094,0.75603,2.20676,0.0009406,0.0009406,0.0009406
8,1359.28,1.57462,0.77263,2.03127,0.8465,0.84276,0.87692,0.6771,1.50719,0.7536,2.17704,0.0009307,0.0009307,0.0009307
9,1528.45,1.5449,0.74433,2.00597,0.81608,0.83212,0.84856,0.65525,1.58202,0.77365,2.28313,0.0009208,0.0009208,0.0009208
10,1697.3,1.5268,0.72315,1.99156,0.84533,0.85286,0.87258,0.68158,1.44,0.65808,2.14104,0.0009109,0.0009109,0.0009109
11,1866.39,1.49949,0.70993,1.98682,0.84496,0.79493,0.83219,0.65677,1.48006,0.73509,2.16998,0.000901,0.000901,0.000901
12,2035.08,1.47773,0.69311,1.96361,0.8418,0.85877,0.87644,0.68095,1.47617,0.69544,2.17695,0.0008911,0.0008911,0.0008911
13,2204.1,1.46829,0.68229,1.96313,0.85441,0.8134,0.8343,0.65565,1.56243,0.71348,2.23479,0.0008812,0.0008812,0.0008812
14,2372.95,1.43736,0.66562,1.94613,0.83604,0.8524,0.85715,0.67172,1.48696,0.65354,2.19827,0.0008713,0.0008713,0.0008713
15,2541.85,1.44408,0.66683,1.94642,0.86998,0.84185,0.86343,0.66833,1.56424,0.67067,2.23617,0.0008614,0.0008614,0.0008614
16,2710.95,1.43099,0.65366,1.94496,0.81912,0.84418,0.86554,0.67937,1.47743,0.6756,2.17181,0.0008515,0.0008515,0.0008515
17,2879.35,1.3959,0.64064,1.92651,0.87712,0.86741,0.88886,0.69759,1.42056,0.6259,2.12622,0.0008416,0.0008416,0.0008416
18,3048.25,1.38514,0.63431,1.92433,0.85129,0.85601,0.87356,0.69469,1.42685,0.62157,2.15089,0.0008317,0.0008317,0.0008317
19,3216.97,1.38937,0.63997,1.93552,0.8823,0.84727,0.875,0.6894,1.45244,0.67522,2.16949,0.0008218,0.0008218,0.0008218
20,3385.73,1.38349,0.62763,1.91996,0.84639,0.84351,0.8638,0.68209,1.4315,0.66585,2.15583,0.0008119,0.0008119,0.0008119
21,3554.47,1.35289,0.6189,1.90922,0.87967,0.85616,0.87644,0.69887,1.43773,0.64189,2.1566,0.000802,0.000802,0.000802
22,3723.36,1.34344,0.61242,1.89924,0.87956,0.84842,0.8888,0.70552,1.4478,0.62198,2.15884,0.0007921,0.0007921,0.0007921
23,3892.29,1.31492,0.5965,1.89335,0.84529,0.84625,0.86849,0.70179,1.43648,0.63356,2.19134,0.0007822,0.0007822,0.0007822
24,4061.05,1.30765,0.59127,1.884,0.87944,0.86777,0.89229,0.69264,1.46735,0.66292,2.18765,0.0007723,0.0007723,0.0007723
25,4229.6,1.30846,0.60168,1.89457,0.85801,0.86569,0.87088,0.6959,1.45885,0.61177,2.18387,0.0007624,0.0007624,0.0007624
26,4398.28,1.32396,0.60528,1.89563,0.87406,0.86451,0.86911,0.70084,1.43117,0.60008,2.18417,0.0007525,0.0007525,0.0007525
27,4567.09,1.28844,0.58188,1.872,0.89988,0.85087,0.87788,0.70714,1.38721,0.61382,2.1402,0.0007426,0.0007426,0.0007426
28,4736.29,1.27954,0.57519,1.88054,0.89465,0.86781,0.89246,0.71097,1.42937,0.59943,2.18065,0.0007327,0.0007327,0.0007327
29,4904.94,1.28051,0.58188,1.87059,0.87629,0.86515,0.88268,0.70394,1.45301,0.61581,2.19592,0.0007228,0.0007228,0.0007228
30,5073.91,1.2663,0.56765,1.86853,0.91848,0.84701,0.88348,0.70286,1.41195,0.59845,2.16115,0.0007129,0.0007129,0.0007129
31,5242.66,1.25663,0.56358,1.86201,0.88412,0.8767,0.88942,0.69981,1.40611,0.58087,2.17771,0.000703,0.000703,0.000703
32,5411.43,1.23437,0.55209,1.85297,0.87806,0.869,0.8786,0.70584,1.40701,0.57928,2.16308,0.0006931,0.0006931,0.0006931
33,5580.53,1.2337,0.55257,1.8632,0.85967,0.87826,0.88354,0.70568,1.41933,0.59952,2.15652,0.0006832,0.0006832,0.0006832
34,5748.92,1.22116,0.54585,1.84617,0.87959,0.87896,0.87615,0.70152,1.40111,0.60166,2.17632,0.0006733,0.0006733,0.0006733
35,5917.7,1.23053,0.55169,1.85256,0.86666,0.88139,0.88041,0.71135,1.41808,0.59855,2.18571,0.0006634,0.0006634,0.0006634
36,6086.34,1.20503,0.53533,1.84498,0.89959,0.86189,0.89004,0.70553,1.41034,0.58878,2.16882,0.0006535,0.0006535,0.0006535
37,6255.18,1.20992,0.54036,1.84701,0.88242,0.87133,0.88878,0.70592,1.44318,0.62731,2.19038,0.0006436,0.0006436,0.0006436
38,6423.82,1.19516,0.53675,1.82952,0.86816,0.88307,0.88,0.70356,1.43308,0.59596,2.17205,0.0006337,0.0006337,0.0006337
39,6592.68,1.18437,0.53352,1.83052,0.87295,0.86237,0.87826,0.70595,1.42019,0.60492,2.18263,0.0006238,0.0006238,0.0006238
40,6761.45,1.17404,0.52959,1.83372,0.87061,0.8696,0.86928,0.69589,1.42793,0.64396,2.18522,0.0006139,0.0006139,0.0006139
41,6930.45,1.166,0.52127,1.82402,0.86553,0.89556,0.88763,0.71506,1.37941,0.56058,2.1527,0.000604,0.000604,0.000604
42,7099.72,1.15721,0.51855,1.81747,0.87001,0.87393,0.88287,0.71198,1.38483,0.56411,2.17252,0.0005941,0.0005941,0.0005941
43,7269.09,1.12994,0.50755,1.81283,0.88793,0.88364,0.89384,0.7115,1.40832,0.57925,2.19034,0.0005842,0.0005842,0.0005842
44,7437.74,1.1439,0.51666,1.81972,0.87834,0.88802,0.89483,0.71404,1.40476,0.60127,2.184,0.0005743,0.0005743,0.0005743
45,7606.81,1.12045,0.50168,1.81504,0.88103,0.87799,0.88379,0.70492,1.38682,0.60738,2.17786,0.0005644,0.0005644,0.0005644
46,7775.83,1.12765,0.50621,1.80778,0.88255,0.8793,0.88909,0.72003,1.37209,0.57333,2.16924,0.0005545,0.0005545,0.0005545
47,7944.78,1.12082,0.50074,1.80239,0.91459,0.86967,0.8811,0.70719,1.4081,0.57169,2.18313,0.0005446,0.0005446,0.0005446
48,8113.8,1.11373,0.494,1.80559,0.92491,0.87048,0.89465,0.71266,1.41279,0.57133,2.19234,0.0005347,0.0005347,0.0005347
49,8282.79,1.10815,0.49944,1.80671,0.90111,0.86595,0.87688,0.70991,1.39674,0.58589,2.21528,0.0005248,0.0005248,0.0005248
50,8451.65,1.09883,0.4919,1.79856,0.90899,0.8764,0.88885,0.71611,1.40097,0.56606,2.21188,0.0005149,0.0005149,0.0005149
51,8620.5,1.08046,0.48677,1.79601,0.91345,0.88468,0.90496,0.7167,1.42487,0.57317,2.2174,0.000505,0.000505,0.000505
52,8789.43,1.08816,0.48716,1.80069,0.88179,0.88325,0.89296,0.71205,1.39215,0.59399,2.20046,0.0004951,0.0004951,0.0004951
53,8958.27,1.06376,0.47744,1.79026,0.89292,0.86976,0.88307,0.71369,1.41622,0.57997,2.22125,0.0004852,0.0004852,0.0004852
54,9127.12,1.07302,0.48765,1.79658,0.89988,0.87423,0.88252,0.71628,1.39918,0.57054,2.19938,0.0004753,0.0004753,0.0004753
55,9295.98,1.0523,0.47551,1.78131,0.8718,0.87929,0.88665,0.71842,1.3841,0.55702,2.17333,0.0004654,0.0004654,0.0004654
56,9464.81,1.0452,0.46825,1.78239,0.8967,0.87627,0.89209,0.71233,1.3833,0.58088,2.18616,0.0004555,0.0004555,0.0004555
57,9634.04,1.0475,0.46455,1.77495,0.90732,0.86166,0.88059,0.71492,1.39365,0.58087,2.21952,0.0004456,0.0004456,0.0004456
58,9802.42,1.02328,0.45857,1.77005,0.90072,0.87412,0.89037,0.71837,1.38217,0.57116,2.1858,0.0004357,0.0004357,0.0004357
59,9971.13,1.03205,0.46375,1.77775,0.87917,0.86634,0.87474,0.71447,1.39103,0.59066,2.18785,0.0004258,0.0004258,0.0004258
60,10140.4,1.02146,0.46274,1.762,0.88683,0.88527,0.88867,0.72331,1.39196,0.55168,2.2066,0.0004159,0.0004159,0.0004159
61,10309.1,1.00467,0.4533,1.7594,0.91812,0.86841,0.88695,0.72228,1.38422,0.57102,2.20754,0.000406,0.000406,0.000406
62,10478.1,1.00285,0.45055,1.76168,0.87744,0.8924,0.88558,0.71997,1.39234,0.56654,2.22989,0.0003961,0.0003961,0.0003961
